Symbol,Current_Vol_ZScore,Current_Volm_ZScore,Market_Anomaly_Active
ADANIPORTS,-0.08,0.0,0
ASIANPAINT,0.63,-0.79,0
AXISBANK,-0.03,-1.38,0
BAJAJ-AUTO,0.76,-0.16,0
BAJAJFINSV,-0.02,-0.64,0
BAJAUTOFIN,-1.95,-0.29,0
BAJFINANCE,0.26,-0.63,0
BHARTIARTL,0.46,-0.34,0
BPCL,0.13,-0.75,0
BRITANNIA,-0.06,-0.54,0
CIPLA,2.02,0.21,0
COALINDIA,-0.33,-1.1,0
DRREDDY,0.75,-1.02,0
EICHERMOT,-0.1,-0.48,0
GAIL,-0.37,-0.39,0
GRASIM,1.01,0.19,0
HCLTECH,0.46,0.48,0
HDFC,-0.23,-1.33,0
HDFCBANK,-0.06,-1.1,0
HEROHONDA,-1.34,0.11,0
HEROMOTOCO,-0.08,-0.98,0
HINDALCO,0.46,-0.66,0
HINDUNILVR,1.79,-0.9,0
ICICIBANK,0.06,-1.03,0
INDUSINDBK,0.34,-0.6,0
INFOSYSTCH,0.6,-0.38,0
INFY,1.49,0.73,0
IOC,-0.05,-0.12,0
ITC,1.06,-0.47,0
JSWSTEEL,0.44,-0.91,0
KOTAKBANK,0.08,-0.45,0
LT,-0.27,-0.7,0
M&M,0.9,-0.35,0
MARUTI,0.37,-0.42,0
MUNDRAPORT,1.33,-0.59,0
NESTLEIND,0.33,-0.47,0
NTPC,-0.35,-0.8,0
ONGC,-0.11,-0.11,0
POWERGRID,-0.33,-1.05,0
RELIANCE,0.33,-0.8,0
SBIN,0.62,-1.07,0
SESAGOA,0.63,0.81,0
SHREECEM,-0.21,-1.13,0
SSLT,0.32,0.08,0
SUNPHARMA,0.43,-0.76,0
TATAMOTORS,0.78,-0.07,0
TATASTEEL,0.95,-0.85,0
TCS,0.92,-0.49,0
TECHM,0.09,0.11,0
TITAN,-0.54,-0.01,0
ULTRACEMCO,-0.02,-0.74,0
UNIPHOS,0.39,-0.88,0
UPL,0.63,-0.54,0
VEDL,2.59,2.42,0
WIPRO,3.15,2.79,1
ZEEL,0.3,-0.51,0
