Symbol,Close,ml_prediction,ml_confidence,Risk_Score,Risk_Category,Action_Item,Quantitative_Justification
HINDUNILVR,2395.4,0,0.478045755704585,5.4,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 5.4. Pruning portfolio exposure is recommended.
NESTLEIND,18390.25,0,0.4814399713299728,7.5,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 7.5. Pruning portfolio exposure is recommended.
INFOSYSTCH,2865.3,1,0.5223879872749062,12.1,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 52.2%). Asset displays a healthy historical Sharpe Ratio of -0.10 within safe risk boundaries.
POWERGRID,189.85,1,0.5113885769857989,13.6,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 51.1%). Asset displays a healthy historical Sharpe Ratio of -0.02 within safe risk boundaries.
SHREECEM,24013.2,0,0.4995475026782259,13.6,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 13.6. Pruning portfolio exposure is recommended.
ULTRACEMCO,5288.15,1,0.563709720831962,14.3,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 56.4%). Asset displays a healthy historical Sharpe Ratio of 0.34 within safe risk boundaries.
BAJAUTOFIN,793.6,0,0.43296608647937035,15.4,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 15.4. Pruning portfolio exposure is recommended.
CIPLA,819.95,1,0.5008513639076866,16.8,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 50.1%). Asset displays a healthy historical Sharpe Ratio of 0.12 within safe risk boundaries.
DRREDDY,5205.1,1,0.5401594650524696,19.6,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 54.0%). Asset displays a healthy historical Sharpe Ratio of 0.31 within safe risk boundaries.
MARUTI,7649.6,1,0.5105002506819457,22.9,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 51.1%). Asset displays a healthy historical Sharpe Ratio of 0.36 within safe risk boundaries.
TCS,2862.75,0,0.37611181995024934,24.3,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 24.3. Pruning portfolio exposure is recommended.
RELIANCE,1985.3,0,0.47375022269357253,28.2,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 28.2. Pruning portfolio exposure is recommended.
BHARTIARTL,509.7,0,0.45188057947361926,28.2,Low Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 28.2. Pruning portfolio exposure is recommended.
BAJAJFINSV,8906.35,1,0.5140648292682127,29.3,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 51.4%). Asset displays a healthy historical Sharpe Ratio of 0.83 within safe risk boundaries.
HEROMOTOCO,3110.0,1,0.5358185877211642,30.0,Low Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 53.6%). Asset displays a healthy historical Sharpe Ratio of -0.04 within safe risk boundaries.
BAJAJ-AUTO,3444.05,1,0.540104125278955,30.7,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 54.0%). Asset displays a healthy historical Sharpe Ratio of 0.00 within safe risk boundaries.
HEROHONDA,1785.35,1,0.5310566743667278,33.9,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 53.1%). Asset displays a healthy historical Sharpe Ratio of -0.32 within safe risk boundaries.
ADANIPORTS,483.75,0,0.49909308730880114,35.0,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 35.0. Pruning portfolio exposure is recommended.
KOTAKBANK,1995.6,0,0.4270631423978088,35.7,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 35.7. Pruning portfolio exposure is recommended.
SSLT,220.15,1,0.5396727592810299,36.8,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 54.0%). Asset displays a healthy historical Sharpe Ratio of 0.03 within safe risk boundaries.
UNIPHOS,157.8,0,0.4937632025008894,37.5,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 37.5. Pruning portfolio exposure is recommended.
NTPC,99.35,0,0.46702752868537806,38.9,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 38.9. Pruning portfolio exposure is recommended.
ITC,209.0,1,0.5328817592524975,40.0,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 53.3%). Asset displays a healthy historical Sharpe Ratio of -0.25 within safe risk boundaries.
LT,1287.6,0,0.4770387432886877,42.5,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 42.5. Pruning portfolio exposure is recommended.
COALINDIA,135.45,1,0.5264300430808623,46.4,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 52.6%). Asset displays a healthy historical Sharpe Ratio of -0.47 within safe risk boundaries.
HCLTECH,946.15,0,0.4499316629129293,47.5,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 47.5. Pruning portfolio exposure is recommended.
TATASTEEL,643.65,0,0.41164591224177954,47.9,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 47.9. Pruning portfolio exposure is recommended.
WIPRO,386.25,0,0.4872543446619159,51.8,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 51.8. Pruning portfolio exposure is recommended.
