Symbol,Annualized_Volatility,CAGR,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Risk_Score,Risk_Category
ADANIPORTS,0.375013624674953,0.17444720213573928,0.30518145103377936,0.4480303419010103,-0.536935933147627,35.0,Medium Risk
ASIANPAINT,0.378006538472007,0.03509108432849639,-0.06589546247583815,-0.05837197238337563,-0.9248048186299898,67.5,High Risk
AXISBANK,0.43955606018166515,-0.05516902518756617,-0.26201214275141077,-0.26978763973953473,-0.8501742160278691,76.4,High Risk
BAJAJ-AUTO,0.30306321180752954,0.06077597526360479,0.002560440308728722,0.0028048895869471585,-0.5991511318242335,30.7,Medium Risk
BAJAJFINSV,0.35885887182726045,0.35677347812038396,0.826992172742599,1.2119538648257495,-0.5858958485989327,29.3,Low Risk
BAJAUTOFIN,0.334697117608312,4.7026647297668145,13.871242043978443,26.422111689769718,-0.122696902206924,15.4,Low Risk
BAJFINANCE,0.47121035338268447,0.2280147529778649,0.3565599774532435,0.3462663698295877,-0.932820166238052,76.1,High Risk
BHARTIARTL,0.329815709736696,0.052026844314115195,-0.02417457825841609,-0.03950839599127882,-0.4746870397643562,28.2,Low Risk
BPCL,0.4342528940066648,-0.03263495695863616,-0.21332029846464173,-0.2239461785020856,-0.7730521485926019,67.5,High Risk
BRITANNIA,0.38768327532751656,0.07731025963435956,0.044650519472979,0.0405001502422819,-0.8536304097130043,61.4,High Risk
CIPLA,0.2643141325010717,0.09176871066669112,0.12019300809260478,0.19359485116010827,-0.4933747971876507,16.8,Low Risk
COALINDIA,0.297199542128277,-0.07989353446679104,-0.47070575366637113,-0.6943806570634296,-0.7506765899864601,46.4,Medium Risk
DRREDDY,0.2676550511386162,0.14364377908830783,0.3125058867093431,0.45465250229087256,-0.564575857944606,19.6,Low Risk
EICHERMOT,0.4386089597540038,0.1376981826162278,0.17714682039282836,0.17641129215398732,-0.9382370796620396,76.4,High Risk
GAIL,0.3616651339342009,-0.10617876005505367,-0.45948238982109674,-0.5004319873665662,-0.8687594553706459,65.7,High Risk
GRASIM,0.38584307905882986,-0.10021583568656922,-0.41523573800358604,-0.3943557256586344,-0.9243109286619607,76.4,High Risk
HCLTECH,0.3642902609232035,0.09002389165712721,0.0824174974676487,0.08069643817095959,-0.8035532749189077,47.5,Medium Risk
HDFC,0.37701594870361677,-0.00458715197173476,-0.17131145829193714,-0.1645596953957956,-0.8109001620901601,58.2,Medium Risk
HDFCBANK,0.37222887437207225,-0.02092310387596652,-0.21740146841772803,-0.18439206517022727,-0.8417647517343516,59.3,Medium Risk
HEROHONDA,0.3426941205642671,-0.04887348344161124,-0.3176987199615339,-0.5052977331050411,-0.33337328315635034,33.9,Medium Risk
HEROMOTOCO,0.2858211654650903,0.047461489020729886,-0.04386837818279607,-0.06702245955996951,-0.6163202805665612,30.0,Low Risk
HINDALCO,0.40846868125254293,0.03293163790222531,-0.0662679009190406,-0.1036447562532348,-0.7577083747762003,59.3,Medium Risk
HINDUNILVR,0.24187339505223718,0.24408165890985,0.761066172119071,1.3184729688803796,-0.2512315270935945,5.4,Low Risk
ICICIBANK,0.42339285165468704,-0.04996770602767686,-0.2597297181516066,-0.27084321273028217,-0.8979989967114422,79.6,High Risk
INDUSINDBK,0.4050505659293215,0.16922933787864358,0.269668399618292,0.37218324410170356,-0.8510664590593396,59.6,Medium Risk
INFOSYSTCH,0.22881804270452596,0.03769389948062951,-0.09748401068256003,-0.1290355482361969,-0.22171796234327462,12.1,Low Risk
INFY,0.40548763197431725,-0.0617902745604223,-0.3003550908998779,-0.26193510386680513,-0.8794177603701374,75.7,High Risk
IOC,0.3873133521471598,-0.10526812815788622,-0.42670392652792555,-0.4472767910659038,-0.8899569363272816,76.1,High Risk
ITC,0.3137235488564338,-0.019953033335021853,-0.2548518707838855,-0.25406219537174907,-0.6315986990242561,40.0,Medium Risk
JSWSTEEL,0.473395997224748,-0.09940776799162931,-0.33673239513250336,-0.3432577342949003,-0.9244584038012386,88.6,High Risk
KOTAKBANK,0.35792667159599545,0.09392675373344694,0.09478688353166728,0.09484981981877158,-0.6108136120228003,35.7,Medium Risk
LT,0.3279953849423564,-0.019875467092282384,-0.24352619201126902,-0.2974802277863007,-0.6804197252456384,42.5,Medium Risk
M&M,0.3746018869028845,-0.04115137696440696,-0.27002367179915043,-0.2768691150865823,-0.8271541476579046,61.1,High Risk
MARUTI,0.2957093281049777,0.16590277816677212,0.3581313408184957,0.5201961513741138,-0.5920141978855694,22.9,Low Risk
MUNDRAPORT,0.7013307242701267,-0.5972884617517393,-0.9372018635512911,-0.7707167636734529,-0.8647565145619611,90.0,High Risk
NESTLEIND,0.24356077438920648,0.1975335075642557,0.5646783966308105,0.8778231194389248,-0.32401058258193033,7.5,Low Risk
NTPC,0.26520967541894985,-0.064069469516287,-0.4678165278860786,-0.6618800693345775,-0.6519362186787965,38.9,Medium Risk
ONGC,0.4124628858375456,-0.20254464919167559,-0.6365291477281729,-0.6311341705357533,-0.958849147834434,88.6,High Risk
POWERGRID,0.23178823274540666,0.05644335881677853,-0.015344356100803598,-0.02284016738259165,-0.36202699712324576,13.6,Low Risk
RELIANCE,0.3253441174282838,0.05911627237245076,-0.002716285865362349,-0.0031188205710822136,-0.5267559541845943,28.2,Low Risk
SBIN,0.4438585629780023,-0.16851592912491897,-0.5148395191290795,-0.5138845843952261,-0.9567758850413305,93.2,High Risk
SESAGOA,0.42326208150200845,-0.21282351424167645,-0.6445734833451691,-1.0960404002419697,-0.747783552430444,69.6,High Risk
SHREECEM,0.2892839827883636,0.24158871489345524,0.6277178333316269,1.0025522038514412,-0.3689685639695031,13.6,Low Risk
SSLT,0.3842697139441668,0.06962505260018448,0.0250476481776104,0.040850322751255365,-0.4101748807631127,36.8,Medium Risk
SUNPHARMA,0.4176436519160088,-0.09167514834395674,-0.3631688106550216,-0.3331056563093835,-0.8606099656357312,76.4,High Risk
TATAMOTORS,0.4841443371192065,-0.1259221173741194,-0.3840220841586369,-0.4234538849828645,-0.952166428597587,93.9,High Risk
TATASTEEL,0.36876835332729957,0.0024010996284236086,-0.15619263380893916,-0.24200536301814904,-0.7184148853064375,47.9,Medium Risk
TCS,0.30281372943935175,0.12165034710919809,0.20359165095764115,0.22165879136541136,-0.5459250215056702,24.3,Low Risk
TECHM,0.3849556577777525,0.005886544008159023,-0.14057062131317588,-0.13722964162094323,-0.8712029161603868,66.1,High Risk
TITAN,0.4496170119380849,-0.012859375975693865,-0.1620476406389335,-0.1525241660085614,-0.966868875408306,87.9,High Risk
ULTRACEMCO,0.2781480537477907,0.15482441994198926,0.34091347634584135,0.5106743813237782,-0.3765608700591779,14.3,Low Risk
UNIPHOS,0.3630583444922748,0.0030999667022511,-0.1567242129562446,-0.24764117667381322,-0.5037992171310106,37.5,Medium Risk
UPL,0.39823079917944565,0.13113921165182552,0.17863814601584765,0.23272025007609548,-0.753890768487191,51.8,Medium Risk
VEDL,0.4787807087992348,0.01915915981781402,-0.08530176640703292,-0.11158265664151805,-0.8219039351851825,73.2,High Risk
WIPRO,0.33417567421240935,-0.05698567806150867,-0.3500723933219329,-0.33581874193693095,-0.7803409552157907,51.8,Medium Risk
ZEEL,0.43119516622654336,-0.0177429369187051,-0.180296401740877,-0.2166159303551722,-0.8057548092598604,68.6,High Risk
